ID,word,final_normalized_detail
5495,اتومبيل,وسيلة نقليه‌اي که با موتور کار مي‌کند و داراي چهار چرخ است، ماشين.
5496,اتون,تون، گلخن، گلخن گرمابه. تنور گچ پز و نان پز، کورة آهک پزان. آتشدان آهنین.
5497,اتيان,آوردن. مانند و نظیر چیزی را آوردن.  انجام دادن. آمدن.
5498,اتيکت,برچسب.  رسوم، تشریفات.
5499,اتيلن,گازی است بی رنگ، کم رایحه و آن را به وسیلة اخراج آب از الکل به وسیلة اسید سولفوریک به دست می‌آورند و آن در ترکیب گاز روشنایی داخل است. نشانة آن در شیمی   H  C و وزن مخصوص آن / است.
5500,اتينا,حشرات کوچک. کنایه از: آدم فرومایه. خرج بیهوده.
5501,اثاث,جنس، کالا.
5502,اثاثيه,صورت غلط ولي مصطلح اثاثه.
5503,اثاره,انتقام. برانگیختن.
5504,اثافي,ج. اثفیّه. پایة دیگدان، اجاق. نام چند ستاره‌است مقابل رأس   القدر، شلیاق. سه سنگ زیر دیگ.  جماعت.
5505,اثأب,= ثأب: درختي است که از چوب آن مسواک سازند.
5506,اثبات,ثابت گردانیدن. نام نویسی در دفتر لشکر و سپاه.
5507,اثبات,جِ ثَبَت ؛ معتمدان.
5508,اثر,نشان و علامت باقی   مانده از هر چیز. جای پا، نشان قدم.  حدیث، روایت. داغ. تأثیر. تألیف، تصنیف. یادبود.
5509,اثرطراز,مورخ. نویسنده.
5510,اثرم,کسي که دندان پيشين وي افتاده باشد.
5511,اثفيه,ديگ پايه سنگين، سنگي که زير ديگ نهند.
5512,اثقال,جِ ثَقَل، ثِقل. بارهای گران، گران بها، اسباب. اشیاء نفیس، چیزهای گرانبها. رخت‌های مسافر.
5513,اثقال,گرانبار کردن.   گرانبار شدن.
5514,اثلم,رخنه دار، رخنه يافته.
5515,اثم,گناه، خطا. کاری که کردن آن روا نباشد.
5516,اثمار,میوه آوردن درخت. میوه دار شدن.
5517,اثناء,جِ ثني ؛ ميانه‌ها، لاها.
5518,اثناعشر,دوازده. نام نخستین بخش از رودة کوچک که پیوسته به معده می‌باشد به طول بیست و پنج سانت و پهنای دوازده انگشت.
5519,اثناعشري,دوازده امامي.
5520,اثنان,دو، عدد دو. . دو مرد. روز دوشنبه.
5521,اثواب,جِ ثوب ؛ جامه‌ها.
5522,اثير,به باور قدما کره آتش که بالاي کرة هواست، سيالي رقيق و بي وزن است.
5523,اثيل,محکم، استوار.
5524,اثيم,گناهکار، بزه کار.
5525,اج,کدو.
5526,اجابت,پاسخ دادن، جواب دادن. قبول کردن، پذیرفتن.
5527,اجابت کردن معده,قضاي حاجت، مدفوع کردن.
5528,اجاده,نیک کردن. نیک گفتن. نیکو گردانیدن.
5529,اجاره,پناه دادن، به فریاد رسیدن. به مزد گرفتن.  کرایه.
5530,اجاره بها,پول و بهايي که در برابر اجاره کردن جايي به صاحب آن مي‌پردازند، مال الاجاره.
5531,اجاره نامچه,سندي که براي انجام اجاره تنظيم و منعقد مي‌شود، اجاره نامه.
5532,اجاره نشين,آن که در محل اجاره‌ای زندگی می‌کند، مستأجر. اجازه     رخصت دادن، رخصت.  گواهی صلاحیت دادن فتوی به کسی از طرف یک عالِم.
5533,اجازه نامه,پروانه، جواز.
5534,اجاق,دیگدان، آتشدان.  دودمان، خاندان. صاحب کرامات و کشف.  ؛ ~گاز نوعی اجاق که سوخت آن گاز متان است.  ؛ ~برقی  نوعی اجاق که با نیروی برق گرما تولید می‌کند و مثل اجاق گاز برای پختن غذا و جز آن به کار می‌آید.
5535,اجاق زاده,نجيب، شريف.
5536,اجاق کور,کسي که نمي‌تواند فرزند داشته باشد، نازا، عقيم.
5537,اجالت,دور گردانيدن چيزي.
5538,اجامر,فرومايگان، اوباش.
5539,اجانب,جِ اجنبي ؛ بيگانگان.
5540,اجانه,تشت، تغار. نام یکی از صورت‌های فلکی جنوبی.  گودالی که پای درخت درست کنند برای آب دادن به آن.
5541,اجبار,به زور واداشتن به کاري.
5542,اجباراً,از روی ناچاری و اکراه. به ستم و زور.
5543,اجباري,خدمت نظام وظيفه، سربازي.
5544,اجتباء,برگزیدن، انتخاب کردن. فراهم آوردن. برگزیدگی.
5545,اجتثاث,از بيخ و بن برکندن، بريدن، از بن بريدن، بيخ بر کردن، استيصال.
5546,اجتذاب,جذب کردن، به خویش کشیدن. ربودن.
5547,اجتذاذ,بريدن و شکستن.
5548,اجتراء,دلیر شدن، جرئت پیدا کردن.  دلیری.
5549,اجتزاء,کافي بودن.
5550,اجتلاب,کشيدن، جلب کردن.
5551,اجتماع,گرد هم آمدن، جمع شدن. مقارنة ماه و آفتاب، زمانی که ماه و آفتاب در یک برج و یک درجه و یک دقیقه جمع شوند.
5552,اجتماعات,جِ اجتماع. گرد آمدن‌ها، فراهم آمدن‌ها، انجمن کردن‌ها. گروه‌های فراهم آمده، دسته‌های به هم پیوسته.
5553,اجتماعي,منسوب به اجتماع ؛ همگانی، عمومی. کسی که آداب معاشرت را می‌داند.
5554,اجتماعيون,جِ اجتماعي. کساني که طرفدار جامعه بوده و همه چيز را براي همگان بخواهند.
5555,اجتناء,ميوه چيدن.
5556,اجتناب,احتراز، خودداري کردن.
5557,اجتهاد,سعی کردن، کوشیدن،  سعی، کوشش.  استنباط مسایل شرعی از قرآن و حدیث.
5558,اجتياز,گذر کردن.
5559,اجحاف,ستم کردن، تعدی کردن. کار بر کسی تنگ گرفتن.
5560,اجداد,جِ جد؛ نياکان.
5561,اجدادي,منسوب به اجداد، آن چه پيوسته و مربوط به نياکان است.
5562,اجدر,سزاوارتر، شايسته تر.
5563,اجدع,کسي که بيني وي رابريده باشند.
5564,اجدل,از مرغان شکاری.  محکم و سخت و به هم پیچیده.
5565,اجر,مزد، اجرت. ثواب.  مزد دادن.
5566,اجراء,انجام دادن کار. به اجراء گذاشتن حکم صادر شده. مستمری و حقوق مقرر کردن برای کسی.  وظیفه، مستمری.
5567,اجرام,جِ جِرم ؛ تن‌ها، اجسام. ستارگان. جِ جُرم ؛ گناهان.
5568,اجراييات,مؤنث اجرایی. اداره‌ای در سازمان راهنمایی و رانندگی که وظیفه اش رسیدگی به امور مربوط به تخلفات و شکایت‌های رانندگی، جریمه‌ها و صدور برگ عدم خلافی است. سازمانی در قوة قضاییه برای اجرای احکام.
5569,اجراييه,مؤنث اجرايي.  ؛  ورقة  ~ ورقه‌اي است که به منظور آگاهي کسي که اجرا عليه اوست، از طرف اجراء دادگستري يا ثبت به وي ابلاغ و پس از مهلت مقرر، اجرا شروع مي‌شود.
5570,اجرت,مزد، دستمزد. کرایه.
5571,اجري,نک اجراء.
5572,اجري کردن,موظف کردن.
5573,اجزاء,جِ جزء و جزو؛ پاره‌ها، بهره‌ها.
5574,اجساد,جِ جسد؛ بدن‌ها، تن‌ها، جسم‌ها.
5575,اجسام,جِ جسم ؛ تن‌ها، کالبدها.
5576,اجغار,روز شانزدهم ماه چهارم مغان خوارزم. در شب اين روز مانند سده آتش مي‌افروختند و بر گرد آن باده مي‌نوشيدند.
5577,اجفان,جِ جفن. پلک چشم. غلاف شمشیر.
5578,اجق,وجق    غیر متعارف، عجیب و  غریب. لباس رنگارنگ با رنگ‌های تند و زننده.    مهلت، نهایت مدت چیزی. مرگ، زمان مرگ.
5579,اجل,جليل تر، بزرگوارتر.
5580,اجل برگشته,آدم بدشانس. کسی که خطر مرگ تهدیدش می‌کند.
5581,اجل معلق,مرگ ناگهانی. کنایه از: ناگهان حاضر شدن کسی.
5582,اجلاس,نشانیدن.  با هم نشستن برای گفتگو یا مشاوره در امری. جلسه‌ای رسمی با تعداد شرکت کنندگان محدود که در آن چند نفر سخنرانی می‌کنند و پس از بحث و مذاکره تصمیماتی اتخاذ و گاه قطعنامه‌ای صادر می‌شود.
5583,اجلاسيه,مؤنث اجلاس  ؛  دورة  ~ دوره‌اي که در آن انجمن تشکيل مي‌گردد و اعضاي آن براي مشورت و گفت و گو گرد مي‌آيند.
5584,اجلاف,جِ جلف. فرومایگان، مردمان سفله. هر چیز میان تهی.
5585,اجلال,بزرگ و محترم داشتن، گرامي داشتن.
5586,اجله,جِ جليل ؛ بزرگان، مهان.
5587,اجلي,جلي تر، روشن تر، هويداتر.
5588,اجم,نيستان، بيشه، انبوه درختان.
5589,اجماع,گرد آمدن، متفق شدن بر انجام کاری.  جمع کردن.  در فقه اسلامی به معنی اتفاق کلمة فقها در مسئله‌ای یا امری.
5590,اجماعاً,همگي، دست جمعي.
5591,اجمال,به اختصار سخن گفتن ؛ مبهم و نارسا گفتن.  سخن خلاصه و مبهم.
5592,اجمالاً,به طور خلاصه و مبهم.
5593,اجمه,بيشه، نيستان. ج. اجم.
5594,اجناد,جِ جند؛ لشکرها، سپاهيان.
5595,اجناس,جِ جنس. قسم‌ها، نوع، گونه‌ها. کالاها، امتعه.
5596,اجنبي,بیگانه، غریب. نا  فرمان.
5597,اجنحه,جِ جَناح ؛ بال‌ها.
5598,اجنه,در عربي جمع جنين و در فارسي به غلط جمع جن گويند.
5599,اجهار,آشکار کردن سخن، بلند کردن آواز، با صدای بلند چیز ی را خواندن. آشکار کردن.
5600,اجهل,نادان تر، جاهل تر.
5601,اجود,بهتر، نیکوتر. بخشنده تر، جوادتر.
5602,اجودان,نک آجودان.
5603,اجور,جِ اَجر؛ اجرها، اجرت‌ها.
5604,اجوف,ميان تهي، درون خالي.
5605,اجير,مزدور، مزد بگير.
5606,اجيرنامه,عهدنامه‌اي که به موجب آن کار کسي به مدت معيني خريداري مي‌شود.
5607,اچه,برادر بزرگ.
5608,احاديث,جِ احدوثه ؛ افسانه‌ها، سخن‌ها. جِ حدیث ؛ روایات، اخبار.
5609,احاطت,احاطه.
5610,احاطه,گرداگرد چیزی را گرفتن. فهمیدن و فراگرفتن به طور کامل و تمام.
5611,احالت,نک  احاله.
5612,احاله,حواله کردن، واگذاشتن کار یا امری به عهدة دیگری.  از حالی به حال دیگر گشتن.
5613,احباء,جِ حبيب ؛ دوستان.
5614,احباب,جِ حبيب ؛ دوستان، ياران.
5615,احباب,دوست داشتن.
5616,احبار,جمع حبر؛ دانشمندان، علما. پیشوایان روحانی یهود.
5617,احباط,باطل گردانیدن. دوری کردن از کسی.
5618,احتباس,در حبس کردن، نگه داشتن چيزي.
5619,احتجاب,در پرده شدن، در حجاب شدن.
5620,احتجاج,دليل و برهان آوردن.
5621,احتجام,حجامت کردن.
5622,احتراز,پرهیز کردن، دوری نمودن.  خویشتن داری، پرهیز.
5623,احتراس,خود را حفظ کردن.
5624,احتراف,پيشه ور شدن، پيشه گرفتن.
5625,احتراق,سوختن، آتش گرفتن. محو شدن یکی از پنج سیارة «زحل، مشتری، مریخ، زهره، عطارد» در زیر شعاع خورشید، یا مقارنة خورشید با یکی از آن‌ها.
5626,احترام,حرمت گذاشتن، بزرگ داشتن.  حرمت، بزرگداشت.
5627,احتراماً,از روي احترام و بزرگداشت.
5628,احتساب,شمردن، حساب کردن. نهی کردن از کارهایی که در شرع ممنوع باشد.
5629,احتشاد,گرد آمدن مردم براي انجام کاري.
5630,احتشام,حشمت و بزرگی یافتن.  جاه و جلال.
5631,احتصان,استوار بودن، محکم بودن.
5632,احتضار,حاضر شدن. فرا رسیدن هنگام مرگ. جان کندن.  شهری شدن، از سفر یا بیابان به شهر آمدن.
5633,احتضان,در کنار گرفتن. در پناه گرفتن.
5634,احتفاظ,نگاه داشتن، حفظ کردن.  خویشتن داری کردن.
5635,احتقار,خوار و حقیر شمردن.  خوار شدن.
5636,احتکار,انبار کردن و نگاهداشتن کالا به قصد گران فروختن.   انبارداری.
5637,احتکاک,به هم ساييدن، به هم سودن.
5638,احتلام,خواب دیدن، جماع کردن در خواب. انزال منی در خواب.
5639,احتماء,پرهیز غذایی بیمار. خودداری کردن.
5640,احتمال,حمل کردن.  بردباری. گمان بردن، حدس زدن.
5641,احتمالاً,شايد.
5642,احتمالات,شاخه‌اي از علم رياضي که در آن احتمال وقوع پيشامدهاي تصادفي بررسي مي‌شود.
5643,احتواء,گرد کردن، فراگرفتن از هر سوی. حاوی بودن، دربرداشتن.
5644,احتياج,نیازمند شدن، حاجتمند شدن.  حاجتمندی، نیازمندی.  نیاز، حاجت.
5645,احتياط,محکم کاری کردن. کاری را با حزم و هوشیاری انجام دادن.
5646,احتيال,حیله کردن.  ذمُه دیگری را پذیرفتن.  حیله    گری، چاره ساختن.
5647,احجار,جِ حجر؛ سنگ‌ها.
5648,احد,یکی، یک.  یگانه، یکتا. یکم. یکی از نام‌های خدا.
5649,احداب,گوژپشت گردانیدن. مهربانی کردن.
5650,احداث,جِ حدث. نوها، تازه‌ها، هر چیز تازه و نو پدید آمده.  جوانان. نوعی حقوق دیوانی .  ؛ ~ اربعه: حدث‌های چهارگانه: قتل، ازالة بکارت، شکستن دندان و کور کردن. ~ دهر: بلاهای روزگار، پیشامدهای دوران. ~ موجبة وضوء: حدث‌هایی که وضو را باطل می‌کند.
5651,احداث,چيزي نو به وجود آوردن، ساختن و برقرار کردن.
5652,احداق,جِ حدقه ؛ سياهي‌هاي چشم، مردمک‌هاي چشم.
5653,احدالناس,هيچکس، حتي يک نفر.
5654,احدب,گوژپشت. کسی که پشتش قوز و برآمدگی داشته باشد.  شمشیر کج.
5655,احدوثه,سخن شگفت. خبر و حدیث. کار نو، چیز تازه.
5656,احدي,يک تن، هيچکس، کسي.
5657,احدي,منسوب به احد. مربوط به خدای یگانه. فرقه‌ای از سپاهیان پادشاه هند.
5658,احديت,یگانگی. مقام الوهیت، یکتایی خدا.
5659,احرار,جِ حر؛ آزادان، آزادگان. ایرانیان.
5660,احراز,فراهم آوردن، جمع کردن. پناه دادن، جای دادن. به دست آوردن، رسیدن به چیزی.
5661,احراق,سوزانيدن، آتش زدن.
5662,احرام,جِ حَرَمْ. جِ حریم.
5663,احرام,آهنگ حج کردن، در حرم درآمدن.  مجازاً دو تکه لباس نادوخته که در ایام حج یکی را به کمر بندند و دیگری را بر دوش اندازند.
5664,احرام بستن,آهنگ کردن، قصد و نيت کردن.
5665,احرامي,پارچة سفيدي که به عنوان بقچة لباس به کار مي‌رود.
5666,احري,سزاوارتر، شايسته تر، اولي، اصلح، درخورتر، بسزاتر.
5667,احزاب,جِ حزب. گروه‌ها، دسته‌ها. گروه‌های کافران، شامل برخی از قبایل عرب، مانند قریش، غطفان و بنی قریظه، که با هم متحد شده به جنگ پیامبر رفته بودند. هر گروه سیاسی که مرام و مسلکِ ویژه خود را دارد.
5668,احزان,جِ حُزن و حَزَن ؛ غم‌ها و اندوه‌ها.
5669,احساس,دریافتن، درک کردن. درک چیزی با یکی از حواس.
5670,احساساتي,زودرنج، کسي که زود دستخوش احساساتش مي‌شود.
5671,احسان,نیکی کردن. بخشش کردن.  نیکوکاری، بخشش.
5672,احسن,نيکوتر، بهتر.  ؛به نحو ~ به بهترين شيوه و طرز.  ؛~التقويم بهترين شکل، بهترين صورت.
5673,احسن,آفرين، احسنت، مرحبا.
5674,احسنت,آفرين .
5675,احشاء,جِ حشا؛ اندرونه، اعضای درونی بدن مانند: دل و جگر و معده و روده. احصائیه     آمار، شمار. دانشی که موضوع آن دسته بندی منظم امور اجتماعی است.
5676,احشام,جِ حشم.
5677,احصاء,شمردن، ضبط کردن، آمار گرفتن، سرشماري کردن.
5678,احصان,استوار و محکم کردن.  نگه داشتن نَفْس از انجام کار بد. شوی کردن زن. زن گرفتن مرد. زن و مردی که به عقد دائم در آمده باشند که مرد «محصن» و به زن «محصنه» گویند.
5679,احضار,حاضر آوردن. فراخواندن، به حضور خواستن.
5680,احضارنامه,نک احضاريه.
5681,احضاريه,احضارنامه، نامه‌اي که به وسيلة آن شخص را به دادگاه يا هر جاي ديگر فراخوانند.
5682,احفاد,جِ حافد و حفد. فرزند  زادگان، نوادگان. یاران، خادمان.
5683,احق,سزاوارتر، اولي، صاحب حق تر، راست تر، به سزاتر.
5684,احقاف,جِ حقف ؛ توده‌هاي ريگ، تل‌هاي شن و ريگ.
5685,احقاق,مطالبة حق کردن ؛ به حق حکم کردن.
5686,احقر,حقيرتر، کوچکتر، خردتر، خوارتر.
5687,احکام,جِ حکم.  رأی‌ها، دستور ‌ها.  مجموعة دستورالعمل‌های شرعی. آداب، رسم‌ها. مجموعة قوانین و مقرراتی که به ارادة محکوم علیه قابل تغییر است.
5688,احکام,محکم کردن، استوار کردن.  استواری.
5689,احلال,حلال کردن. فرود آمدن در جایی. از حرام بیرون آمدن.
5690,احلام,شکیبایی‌ها، وقارها. خِردها. جِ حلم ؛ خواب‌ها، خواب‌های شیطانی.  جِ حلیم ؛ بردباران.
5691,احلي,شيرين تر.
5692,احليل,آلت تناسلي مرد.
5693,احليل خوردن,فريب خوردن.
5694,احليل زدن,فريب دادن، گول زدن.
5695,احماد,ستوده کار شدن.  ستودن، تحسین کردن.
5696,احماض,از حالی به حال دیگر گشتن. شوخی و مزاح کردن. از جدیّت به سستی گراییدن.
5697,احمال,به کسي در برداشتن بار ياري رساندن.
5698,احمال,جِ حَمل ؛ بارهای شکم، بارهای درخت. جِ حَمَل ؛ بره‌ها.
5699,احمد,ستوده تر، حميده تر.
5700,احمر,سرخ.
5701,احمق,نادان، بی خرد، بی   هوش.  نادان تر، سفیه تر.
5702,احمقانه,به شيوة احمق، بي خردانه، سفيهانه.
5703,احناء,اطراف. چیزهای کج و معوج و بی قواره.
5704,احنف,انسان يا حيواني که پايش کج باشد.
5705,احوال,جِ حال. حال‌ها، وضع‌ها. چگونگی مزاج. کار و بار. سرگذشت.
5706,احوال پرسي,پرسش از چگونگي وضع و کار و بار کسي، پژوهش و سوال از صحت و بيماري کسي.
5707,احوال شخصيه,مجموع صفات انسان که به اعتبار آن، شخص در اجتماع داراي حقوق شده و آن حقوق را اجرا کنند مانند: تابعيت، ازدواج، اقامتگاه، اهليت و غيره.
5708,احوط,با احتياط تر، بيشتر مقرون به احتياط.
5709,احول,لوچ، دو بین، کسی که همه چیز را دوتایی می‌بیند.  حیله گر، چاره گرتر.
5710,احياء,جِ حی. زندگان.  قبیله‌ها، خاندان‌ها.
5711,احياء,زنده کردن. آباد کردن زمین.   شب را به عبادت گذرانیدن. شب زنده داری کردن.  زندگی.
5712,احياناً,اتفاقاً، گاهگاهی. هیچ، هرگز.
5713,اخ,برادر. ج. اخوان.
5714,اخ,صوتی است که هنگام درد و سوزش بر زبان رانند. صوتی است برای نمودن خوشی و لذت.
5715,اخ اخ,صوتی است که برای نفرت و ناخشنودی بر زبان رانند. کلمه‌ای است برای ستودن و اظهار خشنودی به هنگام لذت، به به. کلمة افسوس، دریغا، وای، آه.
5716,اخ تف,آب دهان، خيو، بزاق.
5717,اخ کردن,از روي ناگزيري و اکراه پولي را به کسي دادن.
5718,اخ و تخ کردن,عدم رضايت نشان دادن، اکراه نمودن.
5719,اخاذ,رشوه گير، باج گير.
5720,اخاذي,رشوه گرفتن، باج گرفتن.
5721,اخافه,ترسانيدن، خوف در دل کسي افکندن.
5722,اخامص,جِ اخمص. گودي‌هاي کف دست و پا و ميان بدن.
5723,اخبار,خبر دادن، آگاه ساختن.
5724,اخبار,جِ خبر؛ آگاهي‌ها، خبرها.
5725,اخباري,کسی که حکایت‌ها و داستان‌ها را روایت کند. کسی که فقط به ظاهر احادیث اکتفاء کند نه به دلیل‌های عقلی.
5726,اخبيه,ج. خباء. خرگاه، خیمه. یکی از ستارگان سعدالا خب یه، منزل بیست و پنجم از منازل قمر.
5727,اخت,خواهر، همشیره.  مانند، مثل، قرین. ج. اَخوات.
5728,اخت بودن,مأنوس بودن، دمساز بودن.
5729,اخت شدن,مأنوس شدن، اُنس گرفتن.
5730,اختاپوس,هشت پا.
5731,اختاجي,= اختاچي. اخته چي: ميرآخور، طويله دار، مهتر، ستوربان.
5732,اختبار,خبر گرفتن، خبرجویی. آزمودن، امتحان کردن.
5733,اختتام,به پایان بردن، تمام کردن.  پایان، ختم، آخرکار.
5734,اختتاميه,پایانی، انتهایی. مراسم پایانی امری.
5735,اختداع,فريفتن، فريب دادن.
5736,اختر,ستاره، کوکب، نجم.
5737,اختر,شمار   ستاره شناس، منجم.
5738,اختراع,آفريدن، ايجاد کردن.
5739,اخترتند,بخت نامساعد، اقبال بد.
5740,اخترروشن,بخت خوب، اقبال تابناک.
5741,اخترسوخته,بدبخت، پريشان روزگار، بداحوال.
5742,اخترشمردن,بي   خواب ماندن، شب زنده داري.
5743,اخترگذري,زمان اندک، فرصت کم.
5744,اخترگوي,منجم، فال گوي.
5745,اخترمار,اخترشمار، منجم.
5746,اخترماران سالار,از طبقاتي که در دربار ساسانيان نفوذ داشته ستاره شناسان  بودند که رييس آنان «اخترماران سالار» لقب داشت و در رديف «دبيران» و غيب گويان قرار مي‌گرفت.
5747,اخترمه,در ميان ايل‌هاي کرمانشاه «يخترمه» نيز گويند. اسب و سلاح و بار و بنة دشمن که پس از کشتن وي تصاحب کنند.
5748,اختروارون,طالع بد.
5749,اختصار,کوتاه کردن، ایجاز. اکتفاء، بسنده کردن.
5750,اختصاص,ویژه کردن، ویژگی.  خاص گردیدن، برگزیده شدن.
5751,اختصاصي,منسوب به اختصاص. خصوصي، مخصوص، ويژه.
5752,اختصام,خصومت ورزيدن، پيکار کردن.
5753,اختطاط,خط بر چهره دميدن، ريش درآوردن.
5754,اختطاف,ربودن همچون برق. خیره کردن چشم.
5755,اختفاء,پنهان شدن، پنهان گشتن.
5756,اختلاب,خدعه کردن. با زبان نرم فریب دادن.
5757,اختلاج,پریدن، جستن اعضای بدن مانند: چشم. انقباض و گرفتن شدید عضلات.
5758,اختلاس,ربودن.  دزدیدن. سوءاستفادة مالی توسط شخصِ مسئول.
5759,اختلاط,آمیخته شدن، آمیختن.
5760,اختلاط کردن,معاشرت کردن.
5761,اختلاف,با یکدیگر ناسازگاری کردن، نزاع کردن. تغییر مکان ظاهری ستاره.
5762,اختلال,درهم و بر هم شدن کار، خلل پذیرفتن.  بی سروسامانی.
5763,اختناق,خفه شدن.  خفه کردن.  خفگی.
5764,اخته,انسان يا حيواني که بيضه‌هايش را کشيده باشند، بي خايه. خواجه نيز گويند.
5765,اخته بيگ,کسي که اخته کردن حيوانات به دستور او است، اخته چي، ميرآخور، رييس طويله و اصطبل.
5766,اخته کردن,تخم کشیدن، خصی کردن. مدتی در برف یا ی خ نهادن گوشت خام تا ترد و نازک شود.
5767,اختيار,گزیدن، انتخاب کردن.  آزادی عمل.
5768,اختيار آمدن,برگزيدن، پذيرفتن.
5769,اختيار کردن,انتخاب کردن، گزيدن.
5770,اختياري,ارادي، کاري که  با اختيار و اراده انجام شود.
5771,اختيال,تکبر کردن.  خیال کردن.  گردنکشی، تبختر.
5772,اخچه,= اقچه. آقچه: ریزة زر. سکة زر و مهر درم از زر و نقره.  مطلق زر و سیم. روپیه.
5773,اخدان,جِ خدن ؛ دوستان، ياران.
5774,اخدود,شکاف زمين.
5775,اخذ,گرفتن، ستدن.  ؛ ~ رأي  رأي گرفتن براي برگزيدن کسي يا انتخاب چيزي يا امري.
5776,اخرا,يک نوع خاک رس به رنگ‌هاي مختلف زرد، نارنجي، قرمز، قهوه‌اي که آن را در نقاشي و رنگ کاري به کار مي‌برند.
5777,اخراج,بيرون کردن، بيرون کشيدن.
5778,اخراجات,جِ اخراج. مخارج. مالیات.
5779,اخرب,در علم عروض آن است که ميم اول و نون آخر «مفاعيلن» را بيندازند تا «فاعيل» بماند، آن را به «مفعول» تبديل کنند و اسم اين زحاف «خرب» است و اسم جزيي که عمل «خرب» در آن واقع شود «اخرب».
5780,اخرس,گنگ، لال.
5781,اخرم,آن که بینی اش را سوراخ کرده باشند. شعری که در وزن آن «خرم» واقع شده باشد یعنی «فعولن» را «عولن» و به واژة اخرم اضافه شود. «مفاعلتن» را «فاعلتن» گویند.
5782,اخروي,آن جهاني ؛منسوب به آخرت.
5783,اخري,دیگر، پسین.  آخرت، جهان دیگر.
5784,اخس,خسيس تر، زبون تر، فرومايه تر، خوارتر.
5785,اخسمه,آخسمه، آبجو.
5786,اخشاب,جِ خشب. چوب‌ها. چوب‌های خوشبو.
5787,اخشم,گنده بيني، آن که بوي بد و خوب را درنمي يابد.
5788,اخص,خاص تر، گزيده تر.
5789,اخصاء,اخته کردن.
5790,اخضر,سبز. کبود، آبی.
5791,اخضرار,سبز شدن، به رنگ سبز درآمدن. سبز شدن کشت.
5792,اخطاء,خطا کردن، اشتباه کردن.  منسوب به خطا کردن، خطا گرفتن بر کسی.
5793,اخطار,جِ خطر؛ بلاها، سختي‌ها.
5794,اخطار,در خطر افکندن. ابلاغ و اعلام کردن.  آگهی، اعلام.
5795,اخطاريه,نامه‌اي که از طرف دادگاه براي شخص يا اشخاصي فرستاده مي‌شود، و در آن مطلب مورد نظر را براي شخص يادآور مي‌شوند.
5796,اخفاء,پنهان کردن، نهان داشتن.
5797,اخفاف,جِ خُف. کف پای شتر. سم شترمرغ. کفش.
5798,اخفاق,بی مراد بازگشتن جوینده، مأیوس شدن. غزا کردن و غنیمت نیافتن.
5799,اخفش,کسی که چشمش ضعیف و کم نور باشد.  شب پرک.
5800,اخگر,پارة آتش، شراره، جرقه.
5801,اخلاء,خالی یافتن. خالی کردن، در خلوت بردن کسی را.   خالی شدن، در جای خلوت و بی مزاحم افتادن، خلوت کردن با.
5802,اخلاص,پاک کردن، ویژه کردن.  دوستی پاک و بی ریا داشتن، خلوص نیت داشتن.
5803,اخلاط,جِ خِلط. چیزهای درهم آمیخته. در طب قدیم صفرا وخون و بلغم و سودا.
5804,اخلاف,جِ خَلف ؛ جانشينان، بازماندگان.
5805,اخلاق,جِ خُلق ؛ خوي‌ها.
5806,اخلاقاً,از نظر اخلاق، مطابق اخلاق.
5807,اخلال,زيان رسانيدن، خلل وارد کردن.
5808,اخم,اخمه، آژنگ، ترشرويي، درهم کشيدگي ابرو از اوقات تلخي و بدحالي.  ؛~ ~کسي توي هم بودن   عبوس بودن، ترشرو بودن.
5809,اخم و تخم,ترشرويي، بدخُلقي.
5810,اخماس,جِ خمس.
5811,اخماس,پنج شدن.
5812,اخمالو,اخمو، هميشه اوقات تلخ.
5813,اخمو,ترشرو، بداخلاق.
5814,اخوات,جِ اخت. خواهران. مانندها، شبیه‌ها.
5815,اخوال,جِ خال، داييان، دايي‌ها، برادران مادر.
5816,اخوان,تثنيه اخ، دو برادر.
5817,اخوان,جِ اَخ ؛ برادران، دوستان، برادرخواندگان.
5818,اخوان الصفاء,برادران یکدل، صوفیان. نام انجمنی از دانشمندان ایرانی که در میانة سدة چهارم هجری در بصره و بغداد تشکیل شد که هدف آنان هماهنگ کردن اسلام و حکمت و فلسفة یونان بود.
5819,اخوان المسلمين,نام  جمعیتی که توسط حسن البنا در سال  در مصر بوجود آمد و هدف آن احیای شعائر دین و ایجاد وحدت اسلامی بود. این جنبش در سال  قصد ترور عبدالناصر به علت نزدیک شدن او به غرب را داشتند که در نتیجه سازمانشان منحل و سرانشان اعدام شدند.
5820,اخوانيات,جِ اخوانيه ؛ نامه‌هاي دوستانه.
5821,اخوت,برادر شدن، دوست شدن.  برادری.
5822,اخوي,برادر.
5823,اخوين,تثنية اَخ، دو برادر.
5824,اخيار,جِ خير؛ نيکان، برگزيدگان.
5825,اخير,پسين، بازپسين، آخري.
5826,اخيراً,در آخر، به تازگي، جديداً.
5827,اخيه,آخيه، ميخ آخور، ريسمان يا قلاب‌هايي که در طويله کنار آخور نصب مي‌کنند و چهارپايان را به آن‌ها مي‌بندند. ج. اواخي يا اخايا.
5828,ادا,به جا آوردن، پرداختن دینی که بر شخص فرض و لازم است.  ناز، کرشمه. رمز، اشاره.  حرکات مسخره و بیهوده. تقلید.
5829,ادا,اصول    ناز و کرشمه، نمودن کراهت و جز آن.
5830,ادا اطوار,شکلک سازی. تقلید در آوردن.
